serial;solution1;solution2;solution3;solution4
1,169317;18,853278;0,351625;0,437063;0,277223
1,135357;18,647222;0,346113;0,415457;0,30976
1,116063;18,716067;0,333315;0,478798;0,29798
1,114389;18,852186;0,405765;0,427855;0,296451
1,100082;18,915434;0,345879;0,417337;0,27663
1,122489;18,859351;0,341637;0,413364;0,289742
1,118625;18,880979;0,338688;0,424781;0,276373
1,116783;18,896289;0,340782;0,419739;0,298701
1,123764;18,966756;0,34598;0,419586;0,280514
1,112053;18,961847;0,347781;0,417307;0,282288
1,106222;;0,345977;0,418911;0,29461
1,117542;;0,344575;0,423238;0,283487
1,123042;;0,380316;0,423481;0,303554
1,122666;;0,348965;0,422239;0,277983
1,094784;;0,350091;0,428141;0,302062
1,117887;;0,347079;0,421924;0,279742
1,107592;;0,351519;0,422242;0,296745
1,110112;;0,348146;0,421897;0,281091
1,110634;;0,344438;0,423664;0,30145
1,122727;;0,352911;0,416374;0,28529
1,118713;;0,358144;0,425869;0,301081
1,145003;;0,357419;0,421071;0,277248
1,158742;;0,352318;0,429645;0,309069
1,139315;;0,351734;0,426712;0,28449
1,11389;;0,348296;0,428159;0,300195
1,115792;;0,344813;0,423699;0,280263
1,130178;;0,35095;0,418282;0,293245
1,13437;;0,37976;0,418731;0,277778
1,118635;;0,370856;0,414341;0,284453
1,130626;;0,352924;0,41674;0,284434
1,131715;;0,344628;0,424953;0,280787
1,126394;;0,350694;0,419971;0,282349
1,119051;;0,357199;0,420048;0,270621
1,166946;;0,357381;0,42662;0,324383
1,131719;;0,349864;0,423074;0,309926
1,122401;;0,356168;0,425048;0,318613
1,153248;;0,354049;0,419466;0,312714
1,137804;;0,345239;0,427234;0,31447
1,154568;;0,344695;0,415409;0,357493
1,134548;;0,351951;0,422346;0,304176
1,141694;;0,346957;0,420225;0,319239
1,138798;;0,349656;0,417503;0,314283
1,14691;;0,354899;0,417815;0,308839
1,156523;;0,353429;0,421822;0,322845
1,156974;;0,356433;0,42952;0,307459
1,137881;;0,350235;0,421268;0,311346
1,182041;;0,341791;0,422629;0,424512
1,255355;;0,355822;0,423966;0,295332
1,274741;;0,352674;0,422633;0,317655
1,286123;;0,351432;0,424711;0,30888
1,316496;;0,344587;0,425153;0,365595
1,264997;;0,355617;0,416388;0,317795
1,294749;;0,351376;0,425924;0,30476
1,279336;;0,356047;0,418391;0,324489
1,15115;;0,353281;0,419928;0,302113
1,157065;;0,352129;0,425628;0,320394
1,134674;;0,342187;0,425554;0,313931
1,148537;;0,352382;0,481699;0,313504
1,162825;;0,354259;0,42336;0,327433
1,125219;;0,355084;0,423364;0,303773
1,135948;;0,351672;0,394221;0,319334
1,126676;;0,355635;0,449527;0,306527
1,138703;;0,349666;0,464888;0,335988
1,119315;;0,351147;0,466629;0,312778
1,148766;;0,347634;0,462687;0,306124
1,141104;;0,341901;0,461755;0,325993
1,118401;;0,343974;0,476791;0,306907
1,128814;;0,348128;0,464594;0,316588
1,121958;;0,34178;0,464364;0,304631
1,128093;;0,345766;0,463223;0,317844
1,128975;;0,347413;0,452773;0,327408
1,121784;;0,359716;0,461508;0,312561
1,132107;;0,352905;0,467514;0,346329
1,133611;;0,355789;0,461167;0,307356
1,130427;;0,346789;0,457815;0,31519
1,126433;;0,356803;0,464759;0,322447
1,123953;;0,348465;0,474755;0,313538
1,127655;;0,354976;0,458914;0,401558
1,132243;;0,352192;0,468238;0,307872
1,143742;;0,348525;0,457865;0,304387
1,106861;;0,351524;0,460753;0,318627
1,120433;;0,348578;0,455885;0,308049
1,135562;;0,343631;0,466659;0,316858
1,117834;;0,350116;0,462351;0,308032
1,11625;;0,333757;0,459712;0,328463
1,11195;;0,341549;0,463326;0,319812
1,127202;;0,373114;0,466854;0,305431
1,101792;;0,379246;0,456734;0,322798
1,120175;;0,38736;0,466337;0,304799
1,111876;;0,384814;0,457412;0,316439
1,118578;;0,380565;0,461057;0,308321
1,12683;;0,386794;0,462855;0,315443
1,138092;;0,377734;0,459669;0,315014
1,116206;;0,38403;0,457826;0,316235
1,104377;;0,384854;0,456568;0,323074
1,117096;;0,394539;0,459206;0,305813
1,099433;;0,419737;0,473687;0,321035
1,133824;;0,425726;0,461766;0,302243
1,131027;;0,417199;0,467319;0,312465
1,138425;;0,386066;0,459411;0,321559
;;;;
=AVERAGE(A2:A101);=AVERAGE(B2:B101);=AVERAGE(C2:C101);=AVERAGE(D2:D101);=AVERAGE(E2:E101)
