serial;solution1;solution2;solution3;solution4
6,456785;41,649159;1,961234;1,75471;0,858611
5,961551;41,159579;1,867443;1,889605;0,894257
5,978221;40,853888;1,850687;1,9106;0,852761
5,987699;41,108181;1,844775;1,889086;0,889301
5,994593;41,039507;1,859437;1,870542;0,894762
5,978152;40,552478;1,846758;1,892396;0,898126
6,008653;40,871344;1,846668;1,887571;0,905322
5,931275;40,921027;1,856589;1,882765;0,929054
5,984718;41,185944;1,850752;1,887107;0,906014
5,926464;41,262677;1,871987;1,865323;0,910078
;;1,83989;1,916642;0,923592
;;1,852396;1,89344;0,95798
;;1,862238;1,866349;1,154997
;;1,858035;1,883279;1,181362
;;1,846289;1,894672;1,168078
;;1,843845;1,886991;1,170702
;;1,851448;1,867351;1,17776
;;1,839527;1,874013;1,169461
;;1,846443;1,897992;1,153499
;;1,841239;1,812167;1,166388
;;1,861473;1,885996;1,150545
;;1,832398;1,869662;1,149051
;;1,854925;1,854097;1,158301
;;1,876801;1,882358;1,186379
;;1,84395;1,861017;1,148933
;;1,861973;1,871175;1,621548
;;1,853741;1,863857;1,188869
;;1,832475;1,867693;1,172454
;;1,864345;1,863113;1,166068
;;1,853464;1,866527;1,180661
;;1,85081;1,885281;1,167348
;;1,889002;1,875104;1,186249
;;1,860324;1,871488;1,39919
;;1,854712;1,874508;1,179918
;;1,855974;1,873498;1,177229
;;1,851012;1,877581;1,174236
;;1,865635;1,868135;1,17737
;;1,853532;1,868136;1,158592
;;1,854242;1,853068;1,245401
;;1,870519;1,873454;1,145411
;;1,845472;1,863465;1,137178
;;1,838413;1,856358;1,13146
;;1,857152;1,875315;1,1778
;;1,857796;1,846695;1,194727
;;1,867392;1,914703;1,165279
;;1,844359;1,867281;1,157697
;;1,851905;1,840478;1,170331
;;1,864936;1,884241;1,14201
;;1,851607;1,860397;1,137485
;;1,867725;1,893906;1,159054
;;1,851121;1,874498;1,172483
;;1,862048;1,889899;1,161742
;;1,885169;1,868436;1,152555
;;1,873032;1,906535;1,145294
;;1,856007;1,88278;1,14767
;;1,857178;1,882084;1,137471
;;1,847874;1,874691;1,15807
;;1,845905;1,906517;1,173693
;;1,871005;1,866356;1,244258
;;1,854912;1,875587;1,126782
;;1,873241;1,889467;1,13651
;;1,846162;1,892907;1,141141
;;1,845868;1,844845;1,152296
;;1,868418;1,885305;1,149503
;;1,868781;1,857484;1,129044
;;1,866335;1,894812;1,136199
;;1,896873;1,862369;1,156769
;;1,846406;1,874016;1,131681
;;1,868205;1,88935;1,159828
;;1,851202;1,870441;1,189857
;;1,856573;1,874161;1,123324
;;1,857687;1,901919;1,131326
;;1,846702;1,887909;1,158933
;;1,844168;1,927572;1,127763
;;1,873514;1,885122;1,147745
;;1,868296;1,902559;1,156985
;;1,869302;1,959778;1,139736
;;1,856765;1,896785;1,15666
;;1,940473;1,859601;1,141663
;;1,882615;1,895935;1,145446
;;1,853098;1,87943;1,162117
;;1,851497;1,867225;1,127709
;;1,857364;1,900579;1,089162
;;1,857159;1,871569;1,121629
;;1,869184;1,913335;1,132436
;;1,849316;1,861857;1,172125
;;1,83884;1,916172;1,166059
;;1,855392;1,973927;1,128083
;;1,85446;1,954403;1,116037
;;1,864228;2,023192;1,153666
;;1,862845;1,896327;1,146614
;;1,840648;1,892307;1,142001
;;1,857235;1,882943;1,141889
;;1,861538;1,91871;1,164709
;;1,844699;1,892722;1,141951
;;1,873747;1,913999;1,101117
;;1,849665;1,923279;1,158205
;;1,855647;2,02672;1,118689
;;1,876364;2,004184;1,093833
;;1,855262;2,000091;1,120682
;;;;
=AVERAGE(A2:A101);=AVERAGE(B2:B101);=AVERAGE(C2:C101);=AVERAGE(D2:D101);=AVERAGE(E2:E101)
